code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
HK.01070,TCL ELECTRONICS,11.11,15.916,1.626,4152000,0.646,14.523599999999998
HK.00285,BYD ELECTRONIC,30.74,15.039,1.923,8010419,0.789,14.515199999999997
HK.01258,CHINFMINING,11.28,13.995,2.275,20246183,0.673,14.508000000000001
HK.01686,SUNEVISION,5.76,13.879,2.332,4301216,0.235,14.475000000000001
HK.01788,GUOTAI JUNAN I,2.35,16.666,1.412,45310000,0.65,14.458799999999998
HK.00763,ZTE,22.24,17.107,1.276,7821200,0.564,14.439000000000002
HK.01299,AIA,89.0,19.276,2.779,33479916,1.008,14.4322
HK.00358,JIANGXI COPPER,36.1,16.775,1.397,17354781,0.8,14.420399999999999
HK.03613,TONGRENTANGCM,7.78,16.378,1.555,1135100,0.519,14.3742
HK.00220,U-PRESID CHINA,7.63,14.505,2.188,7583090,0.955,14.358600000000001
HK.00016,SHK PPT,129.5,19.467,0.603,2857551,0.417,14.234400000000003
HK.01816,CGN POWER,3.69,17.242,1.366,134014305,0.638,14.196
HK.02291,SCIENTECH,15.78,20.627,2.528,8686000,41.385,14.073400000000001
HK.00173,K. WAH INT'L,2.24,21.132,0.173,3945000,0.774,14.009399999999998
HK.02638,HKELECTRIC-SS,6.48,18.202,1.161,3220041,0.468,13.988999999999999
HK.01088,CHINA SHENHUA,47.92,15.092,2.216,14799005,0.566,13.955999999999998
HK.02245,LYGEND RESOURCE,18.7,15.19,2.289,4194600,0.685,13.765799999999999
HK.07489,VOYAH AUTO,5.26,17.189,1.655,10136048,0.244,13.707599999999998
HK.02331,LI NING,21.46,17.072,1.813,24198802,0.771,13.493400000000003
HK.00300,MIDEA GROUP,81.3,14.852,2.558,2947532,0.864,13.484399999999999
HK.02367,GIANT BIOGENE,28.6,14.444,2.791,6213372,0.859,13.3098
HK.01157,ZOOMLION,8.52,19.363,1.153,6524200,0.375,13.306799999999997
HK.00780,TONGCHENGTRAVEL,19.36,17.363,1.825,6467675,0.888,13.297199999999998
HK.01681,CONSUN PHARMA,16.5,14.126,2.91,1354000,0.842,13.286399999999999
HK.09988,BABA-W,123.0,16.743,2.04,81500996,0.59,13.2822
HK.00002,CLP HOLDINGS,73.5,17.74,1.725,2515699,0.696,13.251
HK.06603,IFBH,10.96,16.382,2.183,945200,0.886,13.2414
HK.01308,SITC,32.7,9.276,4.577,1841578,0.212,13.1958
HK.00751,SKYWORTH GROUP,6.8,20.987,0.675,1022000,0.459,13.1928
HK.03899,CIMC ENRIC,10.7,17.983,1.68,7766000,0.692,13.1862
HK.00638,FIBOCOM,12.02,14.987,2.688,3401200,0.715,13.169399999999998
HK.00400,INGDAN,2.55,20.4,0.897,2085000,0.582,13.145399999999999
